SoCCCD,HoTen,GioiTinh,NgaySinh,NgayVaoDang,DienDangVien,NgayChinhThuc,TrangThaiSinhHoat,DiaChi,QueQuan,NoiThuongTru,DanToc,NgheNghiep,GDPT,LyLuanChinhTri,SoDienThoai,TenChiBo
095780018159,Lê Minh Nam,Nam,1964-09-20,1983-08-19,Chính thức,1984-08-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0154292922,Chi bộ khu dân cư 08
097541921080,Bùi Quang Hiếu,Nam,1984-09-17,2003-05-19,Chính thức,2004-05-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0571026460,Chi bộ khu dân cư 14
025494067787,Bùi Diệu Hoa,Nữ,1978-10-16,1997-09-02,Chính thức,1998-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0179760883,Chi bộ khu dân cư 24
023310704211,Vũ Thanh Hùng,Nam,1977-04-22,1996-03-26,Chính thức,1997-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0718071375,Chi bộ khu dân cư 04
009881958405,Ngô Anh Long,Nam,2003-03-21,2021-08-19,Chính thức,2022-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0482362545,Chi bộ khu dân cư 07
085154309202,Huỳnh Minh Dũng,Nam,1973-01-22,1991-02-03,Chính thức,1992-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0788538282,Chi bộ khu dân cư 33
069440780359,Đặng Văn Quân,Nam,1959-02-19,1977-09-02,Chính thức,1978-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0967244197,Chi bộ khu dân cư 01
005536956068,Hoàng Mỹ My,Nữ,2006-06-15,2025-05-19,Chờ xét,,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0320493894,Chi bộ Trạm Y tế phường
065805401197,Dương Gia Bình,Nam,1977-07-19,1996-08-19,Chính thức,1997-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0521555977,Chi bộ khu dân cư 27
011201892887,Đỗ Đức Phong,Nam,1995-10-19,2014-05-19,Chính thức,2015-05-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0826161756,Chi bộ khu dân cư 33
083337329428,Võ Ngọc Cường,Nam,1990-09-18,2009-08-19,Chính thức,2010-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0491921772,Chi bộ khu dân cư 13
005454322995,Hồ Quang Tuấn,Nam,1991-08-25,2010-03-26,Chính thức,2011-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0945880155,Chi bộ khu dân cư 19
040182825122,Nguyễn Bảo Anh,Nữ,1969-07-21,1988-02-03,Chính thức,1989-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0783030324,Chi bộ trường Tiểu học Tô Hiến Thành
098778501344,Ngô Hữu Bình,Nam,1997-03-07,2015-02-03,Chính thức,2016-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0282307394,Chi bộ khu dân cư 10
041444555346,Đặng Thanh Long,Nam,1970-02-21,1988-08-19,Chính thức,1989-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0438248574,Chi bộ khu dân cư 28
020303959844,Hoàng Thu Hoa,Nữ,1969-11-06,1988-08-19,Chính thức,1989-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0975178631,Chi bộ khu dân cư 23
054170584239,Đặng Anh An,Nam,1971-11-11,1990-08-19,Chính thức,1991-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0064293165,Chi bộ khu dân cư 38
037751863964,Hồ Văn Quân,Nam,1974-02-18,1992-02-03,Chính thức,1993-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0098731335,Chi bộ khu dân cư 01
005544992685,Lê Anh Hải,Nam,2002-09-07,2021-08-19,Chính thức,2022-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0122867345,Chi bộ khu dân cư 11
068317781065,Ngô Anh Bình,Nam,1953-12-17,1972-09-02,Chính thức,1973-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0738430478,Chi bộ khu dân cư 18
070663004558,Dương Quang Dũng,Nam,1966-05-15,1985-03-26,Chính thức,1986-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0741022021,Chi bộ khu dân cư 29
055837907119,Trần Phương Nhung,Nữ,1976-09-21,1995-03-26,Chính thức,1996-03-26,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0764427386,Chi bộ khu dân cư 12
082175521852,Vũ Gia Tuấn,Nam,1976-09-04,1995-05-19,Chính thức,1996-05-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0923271452,Chi bộ khu dân cư 12
031585258801,Phạm Ngọc Hiếu,Nam,1981-02-09,1999-05-19,Chính thức,2000-05-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Cao cấp,0553773672,Chi bộ khu dân cư 14
053083783037,Bùi Thanh Cường,Nam,1961-06-23,1980-02-03,Chính thức,1981-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0908322645,Chi bộ Quân sự phường Sơn Trà
060386036136,Ngô Thanh Lan,Nữ,2006-02-27,2024-08-19,Chính thức,2025-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0065689943,Chi bộ khu dân cư 28
004181107256,Võ Mỹ Lan,Nữ,1973-02-27,1991-03-26,Chính thức,1992-03-26,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0351318049,Chi bộ khu dân cư 29
080973427691,Ngô Thanh Tuấn,Nam,1993-10-16,2012-02-03,Chính thức,2013-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0088325339,Chi bộ khu dân cư 19
009089196832,Phạm Diệu Châu,Nữ,1987-03-02,2005-02-03,Chính thức,2006-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0282229918,Chi bộ khu dân cư 35
025705654539,Phạm Thị Giang,Nữ,1997-01-14,2015-05-19,Chính thức,2016-05-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0816614351,Chi bộ khu dân cư 27
065488698192,Vũ Minh Tuấn,Nam,1969-08-29,1988-02-03,Chính thức,1989-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0593029213,Chi bộ khu dân cư 09
075068694070,Ngô Minh An,Nam,1971-02-08,1989-09-02,Chính thức,1990-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Trung cấp,0228435887,Chi bộ khu dân cư 05
006228833431,Đặng Phương Hạnh,Nữ,1976-10-30,1995-08-19,Chính thức,1996-08-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0965408629,Chi bộ khu dân cư 06
059639497810,Đặng Ngọc Trang,Nữ,1982-12-24,2001-02-03,Chính thức,2002-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0088595751,Chi bộ khu dân cư 05
011719858893,Dương Hữu Quân,Nam,1959-09-29,1978-03-26,Chính thức,1979-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0511848423,Chi bộ khu dân cư 35
087905893176,Nguyễn Thanh Phong,Nam,1983-06-12,2002-09-02,Chính thức,2003-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0033270034,Chi bộ khu dân cư 04
005194990783,Võ Thị Hoa,Nữ,2003-05-23,2022-08-19,Chính thức,2023-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0459342441,Chi bộ khu dân cư 38
053850452840,Nguyễn Gia Khang,Nam,1960-05-01,1979-02-03,Chính thức,1980-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0799995128,Chi bộ khu dân cư 23
087111556049,Hồ Bảo Lan,Nữ,1993-03-05,2011-08-19,Chính thức,2012-08-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0068015835,Chi bộ Cơ quan UBND phường
037600313787,Hồ Mỹ My,Nữ,1996-09-03,2015-08-19,Chính thức,2016-08-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0905796411,Chi bộ trường Tiểu học Tô Hiến Thành
031801398470,Hồ Hữu Dũng,Nam,1984-11-07,2003-03-26,Chính thức,2004-03-26,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0226800215,Chi bộ khu dân cư 06
030391192778,Lê Hữu Long,Nam,1982-06-24,2001-02-03,Chính thức,2002-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0900566739,Chi bộ Trạm Y tế phường
021886614736,Huỳnh Văn Tuấn,Nam,2006-08-22,2025-08-19,Chờ xét,,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0197060919,Chi bộ khu dân cư 24
022143078934,Bùi Kim Phương,Nữ,1965-09-28,1984-03-26,Chính thức,1985-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0410023824,Chi bộ khu dân cư 34
029793780817,Bùi Hữu Dũng,Nam,2002-06-21,2021-02-03,Chính thức,2022-02-04,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Cao cấp,0125137056,Chi bộ khu dân cư 24
085979207825,Phan Mỹ Mai,Nữ,1979-08-29,1998-03-26,Chính thức,1999-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0236154948,Chi bộ khu dân cư 32
055086834975,Vũ Hữu Quân,Nam,1965-11-10,1984-09-02,Chính thức,1985-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0757989530,Chi bộ khu dân cư 30
022109043725,Bùi Đức Cường,Nam,1997-02-20,2015-03-26,Chính thức,2016-03-26,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0915020553,Chi bộ khu dân cư 21
022421104346,Vũ Kim Hạnh,Nữ,1972-08-22,1991-09-02,Chính thức,1992-09-02,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0461296320,Chi bộ khu dân cư 14
095314433874,Vũ Quang Hùng,Nam,1955-10-29,1974-09-02,Chính thức,1975-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0071863607,Chi bộ Quân sự phường Sơn Trà
085008661453,Đỗ Hữu Hiếu,Nam,1961-08-13,1980-08-19,Chính thức,1981-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Lao động tự do,12/12,Sơ cấp,0446997799,Chi bộ Nghiệp đoàn Nghề cá
097936764369,Vũ Ngọc An,Nam,2002-03-19,2020-02-03,Chính thức,2021-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0542090668,Chi bộ khu dân cư 29
070624720375,Nguyễn Ngọc Tuấn,Nam,1994-04-27,2013-03-26,Chính thức,2014-03-27,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0140049455,Chi bộ khu dân cư 36
077178896561,Lê Diệu Anh,Nữ,1985-07-19,2004-08-19,Chính thức,2005-08-20,Chuyển sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0515178234,Chi bộ khu dân cư 33
050714449949,Nguyễn Kim Hoa,Nữ,1953-11-13,1972-08-19,Chính thức,1973-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0029416463,Chi bộ khu dân cư 03
023944344985,Huỳnh Minh Thành,Nam,1973-06-16,1992-09-02,Chính thức,1993-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Sơ cấp,0864596357,Chi bộ khu dân cư 08
015670081758,Đỗ Thanh Sơn,Nam,1961-10-09,1980-09-02,Chính thức,1981-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0187586551,Chi bộ khu dân cư 13
098937407748,Ngô Kim Nhung,Nữ,1988-12-15,2007-08-19,Chính thức,2008-08-19,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Trung cấp,0906977444,Chi bộ khu dân cư 24
011642471968,Hồ Thanh My,Nữ,1957-10-13,1976-09-02,Chính thức,1977-09-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Công chức,12/12,Sơ cấp,0938176815,Chi bộ khu dân cư 03
071050905365,Bùi Phương Trang,Nữ,2003-03-11,2021-08-19,Chính thức,2022-08-20,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Quảng Nam,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Cao cấp,0804651613,Chi bộ Cơ quan UBND phường
006593008399,Đặng Anh An,Nam,2006-03-06,2024-02-03,Chính thức,2025-02-03,Đang sinh hoạt,"Sơn Trà, Đà Nẵng",Đà Nẵng,"Phường Sơn Trà, Quận Sơn Trà, TP Đà Nẵng",Kinh,Hưu trí,12/12,Trung cấp,0958049612,Chi bộ khu dân cư 17
