SoCCCD,LoaiHuyHieu,NgayDuDieuKien,DotTraoTang,TrangThai,SoQuyetDinh,NgayTrao,GhiChu
093278294590,Huy hiệu 30 năm tuổi Đảng,2021-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300042,2026-03-02,Dữ liệu giả lập tự động
015056143967,Huy hiệu 30 năm tuổi Đảng,2019-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300043,2026-03-02,Dữ liệu giả lập tự động
072879177463,Huy hiệu 50 năm tuổi Đảng,2021-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,000016,2026-03-02,Dữ liệu giả lập tự động
060760657936,Huy hiệu 45 năm tuổi Đảng,2022-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,450017,2026-03-02,Dữ liệu giả lập tự động
027807628739,Huy hiệu 45 năm tuổi Đảng,2021-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,450018,2026-03-02,Dữ liệu giả lập tự động
020654975516,Huy hiệu 80 năm tuổi Đảng,2024-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,002,2026-03-02,Dữ liệu giả lập tự động
069919207644,Huy hiệu 50 năm tuổi Đảng,2025-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,000017,2026-03-02,Dữ liệu giả lập tự động
096211770798,Huy hiệu 50 năm tuổi Đảng,2024-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,000018,2026-03-02,Dữ liệu giả lập tự động
031137094724,Huy hiệu 30 năm tuổi Đảng,2018-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300044,2026-03-02,Dữ liệu giả lập tự động
074876775909,Huy hiệu 30 năm tuổi Đảng,2020-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300045,2026-03-02,Dữ liệu giả lập tự động
090840329278,Huy hiệu 45 năm tuổi Đảng,2022-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,450019,2026-03-02,Dữ liệu giả lập tự động
002356612328,Huy hiệu 30 năm tuổi Đảng,2026-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300046,2026-03-02,Dữ liệu giả lập tự động
010099655855,Huy hiệu 30 năm tuổi Đảng,2024-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300047,2026-03-02,Dữ liệu giả lập tự động
090351879666,Huy hiệu 50 năm tuổi Đảng,2022-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,000019,2026-03-02,Dữ liệu giả lập tự động
056959545444,Huy hiệu 30 năm tuổi Đảng,2025-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300048,2026-03-02,Dữ liệu giả lập tự động
071542438621,Huy hiệu 45 năm tuổi Đảng,2024-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,450020,2026-03-02,Dữ liệu giả lập tự động
063940909705,Huy hiệu 65 năm tuổi Đảng,2023-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,C00001,2026-03-02,Dữ liệu giả lập tự động
054073366795,Huy hiệu 30 năm tuổi Đảng,2025-03-26,Sinh nhật Bác Hồ,Đã trao,300049,2026-05-19,Dữ liệu giả lập tự động
075076956132,Huy hiệu 30 năm tuổi Đảng,2021-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300050,2026-03-02,Dữ liệu giả lập tự động
053486940074,Huy hiệu 30 năm tuổi Đảng,2017-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300051,2026-03-02,Dữ liệu giả lập tự động
039453840547,Huy hiệu 50 năm tuổi Đảng,2025-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,000020,2026-03-02,Dữ liệu giả lập tự động
063039498898,Huy hiệu 55 năm tuổi Đảng,2024-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,D000010,2026-03-02,Dữ liệu giả lập tự động
029088401478,Huy hiệu 30 năm tuổi Đảng,2019-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300052,2026-03-02,Dữ liệu giả lập tự động
016134596977,Huy hiệu 45 năm tuổi Đảng,2022-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,450021,2026-03-02,Dữ liệu giả lập tự động
052903568186,Huy hiệu 40 năm tuổi Đảng,2021-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,400010,2026-03-02,Dữ liệu giả lập tự động
045763092489,Huy hiệu 40 năm tuổi Đảng,2023-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,400011,2026-03-02,Dữ liệu giả lập tự động
094840524394,Huy hiệu 30 năm tuổi Đảng,2025-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300053,2026-03-02,Dữ liệu giả lập tự động
062641469326,Huy hiệu 30 năm tuổi Đảng,2016-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300054,2026-03-02,Dữ liệu giả lập tự động
046298337754,Huy hiệu 40 năm tuổi Đảng,2025-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,400012,2026-03-02,Dữ liệu giả lập tự động
008436572472,Huy hiệu 30 năm tuổi Đảng,2021-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300055,2026-03-02,Dữ liệu giả lập tự động
067734974336,Huy hiệu 50 năm tuổi Đảng,2024-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,000021,2026-03-02,Dữ liệu giả lập tự động
056825375455,Huy hiệu 55 năm tuổi Đảng,2024-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,D000011,2026-03-02,Dữ liệu giả lập tự động
067762425755,Huy hiệu 55 năm tuổi Đảng,2025-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,D000012,2026-03-02,Dữ liệu giả lập tự động
021372816051,Huy hiệu 30 năm tuổi Đảng,2018-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300056,2026-03-02,Dữ liệu giả lập tự động
007241103143,Huy hiệu 40 năm tuổi Đảng,2025-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,400013,2026-03-02,Dữ liệu giả lập tự động
023805967943,Huy hiệu 40 năm tuổi Đảng,2026-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,400014,2026-03-02,Dữ liệu giả lập tự động
063958357805,Huy hiệu 55 năm tuổi Đảng,2026-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,D000013,2026-03-02,Dữ liệu giả lập tự động
094412324846,Huy hiệu 30 năm tuổi Đảng,2017-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,300057,2026-03-02,Dữ liệu giả lập tự động
081242016603,Huy hiệu 60 năm tuổi Đảng,2025-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,00004,2026-03-02,Dữ liệu giả lập tự động
060952524180,Huy hiệu 40 năm tuổi Đảng,2022-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,400015,2026-03-02,Dữ liệu giả lập tự động
019715513301,Huy hiệu 30 năm tuổi Đảng,2018-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300058,2026-03-02,Dữ liệu giả lập tự động
062450359744,Huy hiệu 40 năm tuổi Đảng,2023-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,400016,2026-03-02,Dữ liệu giả lập tự động
014272665552,Huy hiệu 50 năm tuổi Đảng,2023-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,000022,2026-03-02,Dữ liệu giả lập tự động
025986003262,Huy hiệu 30 năm tuổi Đảng,2024-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,300059,2026-03-02,Dữ liệu giả lập tự động
076645201619,Huy hiệu 50 năm tuổi Đảng,2021-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,000023,2026-03-02,Dữ liệu giả lập tự động
028232457001,Huy hiệu 30 năm tuổi Đảng,2023-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300060,2026-03-02,Dữ liệu giả lập tự động
003941798952,Huy hiệu 30 năm tuổi Đảng,2021-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300061,2026-03-02,Dữ liệu giả lập tự động
026445437410,Huy hiệu 50 năm tuổi Đảng,2022-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,000024,2026-03-02,Dữ liệu giả lập tự động
068535949957,Huy hiệu 45 năm tuổi Đảng,2021-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,450022,2026-03-02,Dữ liệu giả lập tự động
065642191561,Huy hiệu 30 năm tuổi Đảng,2020-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300062,2026-03-02,Dữ liệu giả lập tự động
074725862776,Huy hiệu 75 năm tuổi Đảng,2021-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,B0002,2026-03-02,Dữ liệu giả lập tự động
061078692300,Huy hiệu 30 năm tuổi Đảng,2021-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300063,2026-03-02,Dữ liệu giả lập tự động
083088783123,Huy hiệu 30 năm tuổi Đảng,2022-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300064,2026-03-02,Dữ liệu giả lập tự động
096333776344,Huy hiệu 30 năm tuổi Đảng,2023-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300065,2026-03-02,Dữ liệu giả lập tự động
014021284290,Huy hiệu 55 năm tuổi Đảng,2023-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,D000014,2026-03-02,Dữ liệu giả lập tự động
008068335782,Huy hiệu 40 năm tuổi Đảng,2023-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,400017,2026-03-02,Dữ liệu giả lập tự động
081247884559,Huy hiệu 40 năm tuổi Đảng,2025-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,400018,2026-03-02,Dữ liệu giả lập tự động
009986103897,Huy hiệu 55 năm tuổi Đảng,2025-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,D000015,2026-03-02,Dữ liệu giả lập tự động
020727617076,Huy hiệu 30 năm tuổi Đảng,2023-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300066,2026-03-02,Dữ liệu giả lập tự động
000529017386,Huy hiệu 30 năm tuổi Đảng,2022-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300067,2026-03-02,Dữ liệu giả lập tự động
056009664158,Huy hiệu 40 năm tuổi Đảng,2023-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,400019,2026-03-02,Dữ liệu giả lập tự động
084977421852,Huy hiệu 45 năm tuổi Đảng,2022-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,450023,2026-03-02,Dữ liệu giả lập tự động
059673039517,Huy hiệu 50 năm tuổi Đảng,2024-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,000025,2026-03-02,Dữ liệu giả lập tự động
096116115171,Huy hiệu 50 năm tuổi Đảng,2022-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,000026,2026-03-02,Dữ liệu giả lập tự động
066490141475,Huy hiệu 30 năm tuổi Đảng,2016-05-19,Kỷ niệm ngày thành lập Đảng,Đã trao,300068,2026-03-02,Dữ liệu giả lập tự động
013413691548,Huy hiệu 40 năm tuổi Đảng,2026-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,400020,2026-03-02,Dữ liệu giả lập tự động
080763276332,Huy hiệu 65 năm tuổi Đảng,2024-09-02,Kỷ niệm ngày thành lập Đảng,Đã trao,C00002,2026-03-02,Dữ liệu giả lập tự động
084265432384,Huy hiệu 30 năm tuổi Đảng,2021-03-26,Kỷ niệm ngày thành lập Đảng,Đã trao,300069,2026-03-02,Dữ liệu giả lập tự động
063306227826,Huy hiệu 45 năm tuổi Đảng,2021-08-19,Kỷ niệm ngày thành lập Đảng,Đã trao,450024,2026-03-02,Dữ liệu giả lập tự động
013882349099,Huy hiệu 30 năm tuổi Đảng,2024-02-03,Kỷ niệm ngày thành lập Đảng,Đã trao,300070,2026-03-02,Dữ liệu giả lập tự động
